aggiungere,2,[Human] aggiungere : [Proposition] | che [Proposition]
aggiungere,3,[Human] aggiungere [Anything] | che [Proposition]
ammettere,1,[Human] | [Institution] ammettere ([Activity {errori | sbagli | malefatte}] | [Responsibility]) | che | di [Proposition]
annotare,1,[Human] | [Device] annotare [Information] | [Number] | [Proposition]
annotare,2,[Human] annotare che [Preposition] : [Proposition]
annunciare,1,[Human1] | [Institution] annunciare [Event] | che | di [Proposition] (a [Human2])
annunciare,1.m,[Document] | [Part of Language] | [Sound] | [Sound Maker {campana | altoparlante}] annunciare [Event] | che | di [Proposition]
apprendere,3,[Human] apprendere [Information] | che [Proposition]
assicurare,2,[Human] assicurare : [Proposition] | che [Proposition]
assicurare,3,[Human] | [Institution] assicurarsi che | di [Proposition]
assumere,4,si assume che | di [Proposition]
avvertire,1,[Human1] | [Institution] | [Signal] avvertire ([Human2]) (di|su [Anything]) | (che | di [Proposition]) | (: [Proposition])
avvertire,2,[Human1] avvertire [Human2] (che [Proposition])
avvisare,1,[Human1] | [Human Group1] avvisare ([Human2] | [Human Group2] | [Medium]) di [Eventuality] | che | di [Proposition]
avvisare,2,[Human1] | [Institution] avvisare ([Human2]) (di [Eventuality]) | (che [Proposition]) | (: [Proposition])
avvisare,3,[Signal] | [Device] | {programma | sistema} avvisare [Human] (di [Eventuality]) | (che [Proposition])
azzardare,3,[Human] azzardare [Speech Act] | : [Proposition] | che [Proposition]
bastare,2,basta | basti che [Proposition] | [Proposition]
bastare,3,basta | basti [Proposition]
bisbigliare,1,[Human] bisbigliare [Proposition] | [Part of Language] | : [Proposition]
bisognare,1,bisogna che [Proposition] | [Proposition]
borbottare,2,[Human] borbottare [Proposition] | che [Proposition] | : [Proposition]
brontolare,1,[Human] brontolare [Proposition] | che [Proposition] | : [Proposition]
buttare,10,[Human] buttare lì | là | giù [Proposition] | [Part of Language]
capire,1,[Human] capire [Concept] | di [Proposition] | che|come|perché|cosa [Proposition]
chiarire,1,[Physical Entity] | [Abstract Entity1] | [Eventuality1] chiarire [Abstract Entity2] | [Eventuality2] | che [Proposition]
chiedere,1,[Human1] | [Human Group 1] chiedere [Proposition] che|se | di [Proposition] | : [Proposition] (a [Human2] | a [Human Group2])
chiedere,3,[Human] chiedersi se [Proposition] | : [Proposition]
citare,2,[Human] citare [Document] | [Proposition]
collegare,11,[Human] collegarsi a [Proposition]
comandare,1,[Human1] comandare [Proposition] che | di a [Proposition] a [Human2]
comprendere,1,[Human] comprendere [Abstract Entity {ragione | significato}] | che [Proposition]
comunicare,1,[Human1] | [Institution1] comunicare (a [Human2] | a [Institution2]) [Information] | che | di [Proposition]
concludere,2,[Human] concludere che [Proposition]
confermare,1,[Human] | [Institution] confermare [Eventuality] | [Property] | [Concept] | che | di [Proposition]
credere,1,[Human] credere (che | di [Proposition])
decretare,1,[Human] | [Institution] | [Rule1] decretare [Rule2] | [Eventuality] | che | di [Proposition] : [Proposition]
dettare,1,[Human] dettare [Proposition]
dichiarare,2,[Human] dichiarare che | di [Proposition] | : [Proposition]
dimenticare,1,[Human] dimenticare [Anything] | che | di [Proposition]
dimostrare,1,[Human] | [Event1] dimostrare [Proposition] che|come | di [Proposition]
dimostrare,5,[Human] dimostrare che [Proposition]
dire,1,[Human] dire : [Proposition] | che [Proposition] | {parola}
dire,2,[Human] | [Institution] dire che | di [Proposition]
dire,5,[Anything1] vuol dire ([Proposition]) [Anything2]
dire,7,dicono | si dice che [Proposition]
dire,8,[Anything1] dire [Anything2] | che|quanto [Proposition] (a [Human])
disperare,3,[Human] disperare che | di [Proposition]
disporre,1,[Human] | [Rule] disporre che | di [Proposition] | [Activity] | [Obligation]
domandare,1,[Human] domandarsi chi|come|cosa|perché|se [Proposition] | : [Proposition]
domandare,2,[Human1] domandare (a [Human2]) chi|come|cosa|perché|se | di [Proposition] | : [Proposition]
escludere,1,[Human] | [Institution] escludere [Concept] | [Uncertainty] | [Opportunity] | [Eventuality] | che | di [Proposition]
escludere,2,[Event] | [Concept] | [Document] escludere [Opportunity] | [Eventuality] | che [Proposition]
esigere,1,[Human] | [Human Group] esigere che | di [Proposition] | [Anything]
evidenziare,1,[Human] | [Document] evidenziare [Eventuality] | [Physical Entity] | [Concept] | [Property] che|come [Proposition]
